id,fish,year,biomass,F
219,American Plaice NAFO-5YZ,1995,0.36,0.9
220,American Plaice NAFO-5YZ,1996,0.382,0.6
221,American Plaice NAFO-5YZ,1997,0.462,0.5
222,American Plaice NAFO-5YZ,1998,0.506,0.53
223,American Plaice NAFO-5YZ,1999,0.439,0.58
224,American Plaice NAFO-5YZ,2000,0.473,0.53
225,American Plaice NAFO-5YZ,2001,0.479,0.57
226,American Plaice NAFO-5YZ,2002,0.413,0.49
227,American Plaice NAFO-5YZ,2003,0.398,0.48
228,American Plaice NAFO-5YZ,2004,0.385,0.32
229,American Plaice NAFO-5YZ,2005,0.417,0.16
230,American Plaice NAFO-5YZ,2006,0.53,0.13
231,American Plaice NAFO-5YZ,2007,0.704,0.06
236,Arrowtooth flounder Gulf of Alaska,1961,0.471,0.00263
237,Arrowtooth flounder Gulf of Alaska,1962,0.485,0.00256
238,Arrowtooth flounder Gulf of Alaska,1963,0.495,0.00252
239,Arrowtooth flounder Gulf of Alaska,1964,0.503,0.00247
240,Arrowtooth flounder Gulf of Alaska,1965,0.512,0.00243
241,Arrowtooth flounder Gulf of Alaska,1966,0.521,0.0112
242,Arrowtooth flounder Gulf of Alaska,1967,0.525,0.0102
243,Arrowtooth flounder Gulf of Alaska,1968,0.53,0.00762
244,Arrowtooth flounder Gulf of Alaska,1969,0.535,0.00588
245,Arrowtooth flounder Gulf of Alaska,1970,0.541,0.00832
246,Arrowtooth flounder Gulf of Alaska,1971,0.544,0.00523
247,Arrowtooth flounder Gulf of Alaska,1972,0.549,0.0191
248,Arrowtooth flounder Gulf of Alaska,1973,0.548,0.0421
249,Arrowtooth flounder Gulf of Alaska,1974,0.539,0.0203
250,Arrowtooth flounder Gulf of Alaska,1975,0.548,0.0109
251,Arrowtooth flounder Gulf of Alaska,1976,0.578,0.0109
252,Arrowtooth flounder Gulf of Alaska,1977,0.634,0.0294
253,Arrowtooth flounder Gulf of Alaska,1978,0.714,0.0233
254,Arrowtooth flounder Gulf of Alaska,1979,0.825,0.0187
255,Arrowtooth flounder Gulf of Alaska,1980,0.948,0.0173
256,Arrowtooth flounder Gulf of Alaska,1981,1.06,0.0151
257,Arrowtooth flounder Gulf of Alaska,1982,1.15,0.00886
258,Arrowtooth flounder Gulf of Alaska,1983,1.23,0.0113
259,Arrowtooth flounder Gulf of Alaska,1984,1.31,0.00593
260,Arrowtooth flounder Gulf of Alaska,1985,1.4,0.00254
261,Arrowtooth flounder Gulf of Alaska,1986,1.5,0.00191
262,Arrowtooth flounder Gulf of Alaska,1987,1.6,0.00716
263,Arrowtooth flounder Gulf of Alaska,1988,1.65,0.00711
264,Arrowtooth flounder Gulf of Alaska,1989,1.7,0.00349
265,Arrowtooth flounder Gulf of Alaska,1990,1.78,0.00978
266,Arrowtooth flounder Gulf of Alaska,1991,1.86,0.0121
267,Arrowtooth flounder Gulf of Alaska,1992,1.96,0.0184
268,Arrowtooth flounder Gulf of Alaska,1993,2.05,0.0173
269,Arrowtooth flounder Gulf of Alaska,1994,2.12,0.0256
270,Arrowtooth flounder Gulf of Alaska,1995,2.15,0.02
271,Arrowtooth flounder Gulf of Alaska,1996,2.16,0.0245
272,Arrowtooth flounder Gulf of Alaska,1997,2.16,0.0179
273,Arrowtooth flounder Gulf of Alaska,1998,2.16,0.0144
274,Arrowtooth flounder Gulf of Alaska,1999,2.16,0.0179
275,Arrowtooth flounder Gulf of Alaska,2000,2.12,0.0269
276,Arrowtooth flounder Gulf of Alaska,2001,2.07,0.0223
277,Arrowtooth flounder Gulf of Alaska,2002,2.06,0.0232
278,Arrowtooth flounder Gulf of Alaska,2003,2.08,0.0315
279,Arrowtooth flounder Gulf of Alaska,2004,2.15,0.0152
280,Arrowtooth flounder Gulf of Alaska,2005,2.33,0.0181
281,Arrowtooth flounder Gulf of Alaska,2006,2.56,0.0236
282,Arrowtooth flounder Gulf of Alaska,2007,2.78,0.0206
283,Arrowtooth flounder Gulf of Alaska,2008,2.94,0.0229
284,Arrowtooth flounder Gulf of Alaska,2009,2.99,0.0172
285,Arrowtooth flounder Gulf of Alaska,2010,2.99,NA
465,Atlantic cod NAFO 2J3KL,1962,1.6,NA
466,Atlantic cod NAFO 2J3KL,1963,1.38,NA
467,Atlantic cod NAFO 2J3KL,1964,1.42,NA
468,Atlantic cod NAFO 2J3KL,1965,1.21,NA
469,Atlantic cod NAFO 2J3KL,1966,0.99,NA
470,Atlantic cod NAFO 2J3KL,1967,0.916,NA
471,Atlantic cod NAFO 2J3KL,1968,0.89,NA
472,Atlantic cod NAFO 2J3KL,1969,0.824,NA
473,Atlantic cod NAFO 2J3KL,1970,0.666,NA
474,Atlantic cod NAFO 2J3KL,1971,0.613,NA
475,Atlantic cod NAFO 2J3KL,1972,0.61,NA
476,Atlantic cod NAFO 2J3KL,1973,0.522,NA
477,Atlantic cod NAFO 2J3KL,1974,0.447,NA
478,Atlantic cod NAFO 2J3KL,1975,0.34,NA
479,Atlantic cod NAFO 2J3KL,1976,0.211,NA
480,Atlantic cod NAFO 2J3KL,1977,0.124,NA
481,Atlantic cod NAFO 2J3KL,1978,0.113,NA
482,Atlantic cod NAFO 2J3KL,1979,0.139,NA
483,Atlantic cod NAFO 2J3KL,1980,0.222,NA
484,Atlantic cod NAFO 2J3KL,1981,0.338,NA
485,Atlantic cod NAFO 2J3KL,1982,0.406,NA
486,Atlantic cod NAFO 2J3KL,1983,0.549,NA
487,Atlantic cod NAFO 2J3KL,1984,0.471,NA
488,Atlantic cod NAFO 2J3KL,1985,0.408,NA
489,Atlantic cod NAFO 2J3KL,1986,0.996,NA
490,Atlantic cod NAFO 2J3KL,1987,0.467,NA
491,Atlantic cod NAFO 2J3KL,1988,0.615,NA
492,Atlantic cod NAFO 2J3KL,1989,0.696,NA
493,Atlantic cod NAFO 2J3KL,1990,0.468,NA
494,Atlantic cod NAFO 2J3KL,1991,0.145,NA
495,Atlantic cod NAFO 2J3KL,1992,0.0485,NA
496,Atlantic cod NAFO 2J3KL,1993,0.00999,NA
497,Atlantic cod NAFO 2J3KL,1994,0.00314,NA
498,Atlantic cod NAFO 2J3KL,1995,0.00355,NA
499,Atlantic cod NAFO 2J3KL,1996,0.00355,NA
500,Atlantic cod NAFO 2J3KL,1997,0.00512,NA
501,Atlantic cod NAFO 2J3KL,1998,0.00487,NA
502,Atlantic cod NAFO 2J3KL,1999,0.00664,NA
503,Atlantic cod NAFO 2J3KL,2000,0.00489,NA
504,Atlantic cod NAFO 2J3KL,2001,0.00738,NA
505,Atlantic cod NAFO 2J3KL,2002,0.00339,NA
506,Atlantic cod NAFO 2J3KL,2003,0.00307,NA
507,Atlantic cod NAFO 2J3KL,2004,0.00347,NA
508,Atlantic cod NAFO 2J3KL,2005,0.00263,NA
509,Atlantic cod NAFO 2J3KL,2006,0.0172,NA
510,Atlantic cod NAFO 2J3KL,2007,0.0494,NA
511,Atlantic cod NAFO 2J3KL,2008,0.0896,NA
512,Atlantic cod NAFO 2J3KL,2009,0.053,NA
513,Atlantic cod NAFO 2J3KL,2010,0.0626,NA
514,Atlantic cod NAFO 2J3KL,2011,0.0663,NA
515,Atlantic cod West of Scotland,1981,1.83,0.734
516,Atlantic cod West of Scotland,1982,1.75,0.671
517,Atlantic cod West of Scotland,1983,1.55,0.764
518,Atlantic cod West of Scotland,1984,1.42,0.857
519,Atlantic cod West of Scotland,1985,1.15,1.01
520,Atlantic cod West of Scotland,1986,0.9,0.778
521,Atlantic cod West of Scotland,1987,0.955,0.929
522,Atlantic cod West of Scotland,1988,1.22,0.875
523,Atlantic cod West of Scotland,1989,1.06,0.92
524,Atlantic cod West of Scotland,1990,0.9,0.778
525,Atlantic cod West of Scotland,1991,0.761,0.829
526,Atlantic cod West of Scotland,1992,0.64,0.849
527,Atlantic cod West of Scotland,1993,0.793,0.838
528,Atlantic cod West of Scotland,1994,0.822,0.811
529,Atlantic cod West of Scotland,1995,0.817,0.818
530,Atlantic cod West of Scotland,1996,0.822,0.929
531,Atlantic cod West of Scotland,1997,0.602,0.972
532,Atlantic cod West of Scotland,1998,0.53,0.942
533,Atlantic cod West of Scotland,1999,0.492,0.99
534,Atlantic cod West of Scotland,2000,0.357,0.96
535,Atlantic cod West of Scotland,2001,0.391,0.984
536,Atlantic cod West of Scotland,2002,0.369,1.06
537,Atlantic cod West of Scotland,2003,0.265,1.04
538,Atlantic cod West of Scotland,2004,0.162,0.983
539,Atlantic cod West of Scotland,2005,0.105,1.08
540,Atlantic cod West of Scotland,2006,0.0773,0.9
541,Atlantic cod West of Scotland,2007,0.137,1.06
542,Atlantic cod West of Scotland,2008,0.141,1.03
543,Atlantic cod West of Scotland,2009,0.124,0.885
544,Atlantic cod West of Scotland,2010,0.159,0.793
545,Atlantic cod West of Scotland,2011,0.176,0.951
546,Atlantic cod West of Scotland,2012,0.169,0.924
547,Atlantic croaker Mid-Atlantic Coast,1973,0.456,0.17
548,Atlantic croaker Mid-Atlantic Coast,1974,0.456,0.28
549,Atlantic croaker Mid-Atlantic Coast,1975,0.735,0.27
550,Atlantic croaker Mid-Atlantic Coast,1976,1.33,0.22
551,Atlantic croaker Mid-Atlantic Coast,1977,1.56,0.27
552,Atlantic croaker Mid-Atlantic Coast,1978,1.38,0.33
553,Atlantic croaker Mid-Atlantic Coast,1979,1.04,0.5
554,Atlantic croaker Mid-Atlantic Coast,1980,0.774,0.41
555,Atlantic croaker Mid-Atlantic Coast,1981,0.642,0.28
556,Atlantic croaker Mid-Atlantic Coast,1982,0.532,0.35
557,Atlantic croaker Mid-Atlantic Coast,1983,0.406,0.23
558,Atlantic croaker Mid-Atlantic Coast,1984,0.965,0.15
559,Atlantic croaker Mid-Atlantic Coast,1985,1.31,0.12
560,Atlantic croaker Mid-Atlantic Coast,1986,1.7,0.09
561,Atlantic croaker Mid-Atlantic Coast,1987,1.98,0.08
562,Atlantic croaker Mid-Atlantic Coast,1988,2.21,0.09
563,Atlantic croaker Mid-Atlantic Coast,1989,2.15,0.06
564,Atlantic croaker Mid-Atlantic Coast,1990,2.08,0.05
565,Atlantic croaker Mid-Atlantic Coast,1991,1.97,0.04
566,Atlantic croaker Mid-Atlantic Coast,1992,2.53,0.03
567,Atlantic croaker Mid-Atlantic Coast,1993,2.87,0.04
568,Atlantic croaker Mid-Atlantic Coast,1994,3.11,0.05
569,Atlantic croaker Mid-Atlantic Coast,1995,3.25,0.06
570,Atlantic croaker Mid-Atlantic Coast,1996,3.34,0.06
571,Atlantic croaker Mid-Atlantic Coast,1997,3.1,0.1
572,Atlantic croaker Mid-Atlantic Coast,1998,2.82,0.1
573,Atlantic croaker Mid-Atlantic Coast,1999,2.92,0.09
574,Atlantic croaker Mid-Atlantic Coast,2000,3.15,0.09
575,Atlantic croaker Mid-Atlantic Coast,2001,3.07,0.11
576,Atlantic croaker Mid-Atlantic Coast,2002,2.78,0.11
577,Atlantic Halibut NAFO-5YZ,1800,1.98,0
578,Atlantic Halibut NAFO-5YZ,1801,1.98,0
579,Atlantic Halibut NAFO-5YZ,1802,1.98,0
580,Atlantic Halibut NAFO-5YZ,1803,1.98,0
581,Atlantic Halibut NAFO-5YZ,1804,1.98,0.001
582,Atlantic Halibut NAFO-5YZ,1805,1.98,0.002
583,Atlantic Halibut NAFO-5YZ,1806,1.97,0.002
584,Atlantic Halibut NAFO-5YZ,1807,1.97,0.003
585,Atlantic Halibut NAFO-5YZ,1808,1.96,0.004
586,Atlantic Halibut NAFO-5YZ,1809,1.96,0.005
587,Atlantic Halibut NAFO-5YZ,1810,1.95,0.005
588,Atlantic Halibut NAFO-5YZ,1811,1.95,0.006
589,Atlantic Halibut NAFO-5YZ,1812,1.94,0.007
590,Atlantic Halibut NAFO-5YZ,1813,1.93,0.007
591,Atlantic Halibut NAFO-5YZ,1814,1.92,0.008
592,Atlantic Halibut NAFO-5YZ,1815,1.92,0.009
593,Atlantic Halibut NAFO-5YZ,1816,1.91,0.01
594,Atlantic Halibut NAFO-5YZ,1817,1.9,0.01
595,Atlantic Halibut NAFO-5YZ,1818,1.89,0.011
596,Atlantic Halibut NAFO-5YZ,1819,1.88,0.012
597,Atlantic Halibut NAFO-5YZ,1820,1.87,0.013
598,Atlantic Halibut NAFO-5YZ,1821,1.86,0.014
599,Atlantic Halibut NAFO-5YZ,1822,1.85,0.014
600,Atlantic Halibut NAFO-5YZ,1823,1.85,0.015
601,Atlantic Halibut NAFO-5YZ,1824,1.84,0.016
602,Atlantic Halibut NAFO-5YZ,1825,1.83,0.017
603,Atlantic Halibut NAFO-5YZ,1826,1.82,0.018
604,Atlantic Halibut NAFO-5YZ,1827,1.81,0.019
605,Atlantic Halibut NAFO-5YZ,1828,1.8,0.019
606,Atlantic Halibut NAFO-5YZ,1829,1.78,0.02
607,Atlantic Halibut NAFO-5YZ,1830,1.77,0.021
608,Atlantic Halibut NAFO-5YZ,1831,1.76,0.022
609,Atlantic Halibut NAFO-5YZ,1832,1.75,0.023
610,Atlantic Halibut NAFO-5YZ,1833,1.74,0.024
611,Atlantic Halibut NAFO-5YZ,1834,1.73,0.025
612,Atlantic Halibut NAFO-5YZ,1835,1.72,0.026
613,Atlantic Halibut NAFO-5YZ,1836,1.71,0.027
614,Atlantic Halibut NAFO-5YZ,1837,1.7,0.028
615,Atlantic Halibut NAFO-5YZ,1838,1.68,0.029
616,Atlantic Halibut NAFO-5YZ,1839,1.67,0.03
617,Atlantic Halibut NAFO-5YZ,1840,1.66,0.031
618,Atlantic Halibut NAFO-5YZ,1841,1.65,0.032
619,Atlantic Halibut NAFO-5YZ,1842,1.64,0.033
620,Atlantic Halibut NAFO-5YZ,1843,1.62,0.034
621,Atlantic Halibut NAFO-5YZ,1844,1.61,0.035
622,Atlantic Halibut NAFO-5YZ,1845,1.6,0.036
623,Atlantic Halibut NAFO-5YZ,1846,1.58,0.038
624,Atlantic Halibut NAFO-5YZ,1847,1.57,0.039
625,Atlantic Halibut NAFO-5YZ,1848,1.56,0.04
626,Atlantic Halibut NAFO-5YZ,1849,1.54,0.041
627,Atlantic Halibut NAFO-5YZ,1850,1.53,0.042
628,Atlantic Halibut NAFO-5YZ,1851,1.52,0.044
629,Atlantic Halibut NAFO-5YZ,1852,1.5,0.045
630,Atlantic Halibut NAFO-5YZ,1853,1.49,0.046
631,Atlantic Halibut NAFO-5YZ,1854,1.47,0.048
632,Atlantic Halibut NAFO-5YZ,1855,1.46,0.049
633,Atlantic Halibut NAFO-5YZ,1856,1.44,0.051
634,Atlantic Halibut NAFO-5YZ,1857,1.43,0.052
635,Atlantic Halibut NAFO-5YZ,1858,1.41,0.054
636,Atlantic Halibut NAFO-5YZ,1859,1.39,0.056
637,Atlantic Halibut NAFO-5YZ,1860,1.38,0.057
638,Atlantic Halibut NAFO-5YZ,1861,1.36,0.059
639,Atlantic Halibut NAFO-5YZ,1862,1.34,0.061
640,Atlantic Halibut NAFO-5YZ,1863,1.32,0.063
641,Atlantic Halibut NAFO-5YZ,1864,1.3,0.065
642,Atlantic Halibut NAFO-5YZ,1865,1.28,0.067
643,Atlantic Halibut NAFO-5YZ,1866,1.27,0.069
644,Atlantic Halibut NAFO-5YZ,1867,1.25,0.071
645,Atlantic Halibut NAFO-5YZ,1868,1.22,0.073
646,Atlantic Halibut NAFO-5YZ,1869,1.2,0.076
647,Atlantic Halibut NAFO-5YZ,1870,1.18,0.078
648,Atlantic Halibut NAFO-5YZ,1871,1.16,0.081
649,Atlantic Halibut NAFO-5YZ,1872,1.13,0.084
650,Atlantic Halibut NAFO-5YZ,1873,1.11,0.087
651,Atlantic Halibut NAFO-5YZ,1874,1.09,0.09
652,Atlantic Halibut NAFO-5YZ,1875,1.06,0.094
653,Atlantic Halibut NAFO-5YZ,1876,1.03,0.097
654,Atlantic Halibut NAFO-5YZ,1877,1,0.102
655,Atlantic Halibut NAFO-5YZ,1878,0.974,0.106
656,Atlantic Halibut NAFO-5YZ,1879,0.943,0.111
657,Atlantic Halibut NAFO-5YZ,1880,0.911,0.116
658,Atlantic Halibut NAFO-5YZ,1881,0.877,0.123
659,Atlantic Halibut NAFO-5YZ,1882,0.841,0.129
660,Atlantic Halibut NAFO-5YZ,1883,0.803,0.137
661,Atlantic Halibut NAFO-5YZ,1884,0.762,0.146
662,Atlantic Halibut NAFO-5YZ,1885,0.719,0.157
663,Atlantic Halibut NAFO-5YZ,1886,0.673,0.17
664,Atlantic Halibut NAFO-5YZ,1887,0.624,0.185
665,Atlantic Halibut NAFO-5YZ,1888,0.571,0.205
666,Atlantic Halibut NAFO-5YZ,1889,0.513,0.231
667,Atlantic Halibut NAFO-5YZ,1890,0.451,0.266
668,Atlantic Halibut NAFO-5YZ,1891,0.382,0.317
669,Atlantic Halibut NAFO-5YZ,1892,0.306,0.401
670,Atlantic Halibut NAFO-5YZ,1893,0.221,0.074
671,Atlantic Halibut NAFO-5YZ,1894,0.233,0.086
